Pathway,P_value,Adj_P_value,Gene_Ratio
PI3K-Akt signaling pathway,1.2e-15,2.5e-14,0.18
TNF signaling pathway,2.5e-12,3.1e-11,0.125
NF-kappa B signaling pathway,3.2e-11,2.8e-10,0.147
Cytokine-cytokine receptor interaction,8.5e-10,5.2e-09,0.064
MAPK signaling pathway,2.1e-09,1.1e-08,0.057
Jak-STAT signaling pathway,1.2e-07,4.5e-07,0.075
Toll-like receptor signaling pathway,3.4e-07,1.1e-06,0.091
NOD-like receptor signaling pathway,8.7e-07,2.5e-06,0.12
Rheumatoid arthritis,1.5e-06,3.8e-06,0.129
Inflammatory bowel disease,2.8e-06,6.3e-06,0.143
